step,mdr
7.0,1.4702732730327979
8.0,1.5321912283138737
9.0,1.4557311301618998
10.0,1.2885958787519398
11.0,1.4775240425076561
12.0,1.395954077515532
13.0,1.8245422217691702
14.0,1.5504811152063953
15.0,1.3619411054794754
16.0,1.838335109922219
17.0,1.9136905667700457
18.0,2.116876473819324
19.0,2.016163750739508
20.0,1.9356928677176408
21.0,1.8010997345945514
22.0,1.756373405674582
23.0,1.7095075298791644
24.0,1.6927911468243626
25.0,1.3838040451515201
26.0,1.5630434900797145
27.0,1.7295449801816762
28.0,1.7016004773518663
29.0,1.5982991332069072
30.0,1.4256560850298836
31.0,1.7196039077901302
32.0,1.6263314109231737
33.0,1.9375265116082738
34.0,1.8235981622587036
35.0,1.9152688742716069
36.0,1.9009485715140042
37.0,1.5514890231435015
38.0,1.9228131706212868
39.0,1.8936388365014136
40.0,2.478774077233517
41.0,3.119664579382451
42.0,2.7805251506649755
43.0,4.7451105446306405
44.0,2.5829648920963373
45.0,2.0031618113387832
46.0,1.9058472017663035
